;PPH AGE;PPH NB HEURES PRATIQUE;AC EXPERIENCEmoins d'un an 1 : 1/2 : 1 Ã  2 ans2/4 : 2 Ã  4 ans4 : plus de 4 anscase grisÃ©e : sans objet;AC FREQUEE;AC BREVET VOL VOL LIBRE
0;45;40;3;2;3
1;55;40;3;3;0
2;66;61;4;3;2
3;52;300;4;3;3
4;60;22;4;3;2
5;47;200;4;4;3
6;56;50;4;2;3
7;42;15;3;4;1
8;47;10;4;2;1
9;56;50;4;3;1
10;69;30;4;3;2
11;66;50;4;3;3
12;52;30;4;3;3
13;28;100;2;2;2
14;52;150;4;3;3
15;29;15;4;3;1
16;55;60;4;3;3
17;42;0;2;2;2
18;46;100;4;3;3
19;50;200;4;3;3
20;33;350;4;3;3
21;39;20;3;4;1
22;76;50;4;2;2
23;55;40;3;3;0
24;60;80;4;3;3
25;46;30;3;2;2
26;38;100;4;3;3
27;34;20;3;3;2
28;44;10;4;4;3
29;41;100;4;3;3
30;57;50;4;4;3
31;64;30;4;3;1
32;60;0;2;3;0
33;65;100;4;3;3
34;30;100;4;3;3
35;48;50;3;2;1
36;32;15;3;2;2
37;52;20;4;3;3
38;63;15;4;4;2
39;71;7;4;2;2
40;36;10;3;4;1
41;67;26;4;2;3
42;41;30;4;2;3
43;59;90;4;2;0
44;57;0;4;2;3
45;33;15;4;4;1
46;32;200;4;3;3
47;47;2;4;4;0
48;32;20;2;4;1
49;34;50;4;3;2
50;60;30;4;3;2
51;34;40;2;2;0
52;38;5;4;2;3
53;43;40;4;2;3
54;24;250;4;3;3
55;63;30;4;3;2
56;39;15;3;3;0
57;74;30;4;4;2
58;53;60;4;3;3
59;52;20;1;3;1
60;70;100;4;2;3
61;41;0;4;3;3
62;68;0;3;4;2
63;45;0;3;4;0
64;67;12;4;3;2
65;29;20;3;4;1
66;72;50;3;2;2
67;27;0;1;4;0
68;55;50;4;2;0
69;35;30;4;4;1
70;64;5;4;2;3
71;63;20;3;2;0
72;44;0;4;3;3
73;68;15;4;4;2
74;31;20;1;3;0
75;50;60;4;3;3
76;47;40;4;2;3
77;44;180;3;2;3
78;62;20;4;4;2
79;46;150;4;3;3
80;42;400;4;3;3
81;39;400;4;3;3
82;61;31;3;3;0
83;37;15;3;2;0
84;40;100;4;3;3
85;34;400;4;3;3
86;56;130;4;3;3
87;40;50;3;3;0
88;65;12;4;3;3
89;57;10;4;4;3
90;57;50;3;4;2
91;53;10;4;2;3
92;33;150;4;3;3
93;64;20;4;4;2
94;39;70;2;2;0
95;73;0;4;3;2
96;50;0;4;2;3
97;64;155;3;3;3
98;87;20;4;3;2
99;59;25;2;3;1
100;63;50;4;2;2
101;53;30;4;4;3
102;40;350;4;3;2
103;59;40;4;2;3
104;44;20;4;3;1
105;54;200;4;3;3
106;53;40;4;4;3
107;84;90;4;3;0
108;51;50;4;2;3
109;37;110;3;3;0
110;54;120;4;3;3
111;41;0;2;4;0
112;42;69;4;3;3
113;41;50;4;3;3
114;20;150;3;3;3
115;31;5;4;4;2
116;48;80;4;2;3
117;62;4;4;2;3
118;65;140;4;3;3
119;46;100;4;3;2
120;46;30;3;2;2
121;56;60;3;2;3
122;61;70;4;2;3
123;38;20;4;2;3
124;34;20;3;3;0
125;45;100;3;3;3
126;63;20;3;4;0
127;30;30;3;3;1
128;46;100;4;2;3
129;47;24;2;2;1
130;42;50;4;4;2
131;58;65;4;2;3
132;28;30;3;4;1
133;42;10;1;4;0
134;54;80;4;3;3
135;60;50;4;2;2
136;62;300;4;3;3
137;34;10;3;4;0
138;56;70;3;4;2
139;70;200;4;3;3
140;50;50;4;2;3
141;68;103;4;3;2
142;65;150;4;3;3
143;40;100;4;2;3
144;51;40;3;3;1
145;49;5;4;2;3
146;34;0;3;4;2
147;52;50;3;3;1
148;47;10;4;2;3
149;64;20;4;3;3
150;44;20;2;2;0
151;46;300;4;3;3
152;66;60;3;2;0
153;49;65;2;3;2
154;42;200;4;3;3
155;17;5;1;2;1
156;45;200;4;3;3
157;52;200;4;3;3
158;49;100;4;2;3
159;33;100;3;3;1
160;51;250;4;3;3
161;41;4;4;3;3
162;51;60;3;3;3
163;36;125;4;3;0
164;35;25;2;3;1
165;31;41;3;2;3
166;42;35;1;3;0
167;62;30;4;3;3
168;45;40;2;2;2
169;50;20;3;2;1
170;55;35;3;2;0
171;42;20;3;2;1
172;42;30;4;2;3
173;47;40;3;2;0
174;45;4;2;2;0
175;60;80;4;3;3
176;53;60;4;3;2
177;33;105;4;3;3
178;56;20;4;3;0
179;35;50;3;2;2
180;37;300;4;3;3
181;50;60;3;3;1
182;40;20;4;3;3
183;23;130;3;3;3
184;49;300;3;2;2
185;33;15;3;4;0
186;57;70;4;3;3
187;35;45;4;3;3
188;52;10;4;4;2
189;60;10;1;2;0
190;40;20;4;2;1
191;32;30;2;2;0
192;47;100;4;2;3
193;43;50;3;2;1
194;55;1;4;2;2
195;58;20;4;3;3
196;55;50;4;3;3
197;30;58;4;3;3
198;42;40;2;3;2
199;56;60;4;2;3
200;43;50;4;3;0
201;57;34;3;2;1
202;33;100;3;4;0
203;57;80;4;4;0
204;69;120;4;3;2
205;19;20;1;3;0
206;63;20;4;3;2
207;25;200;4;3;3
208;33;0;2;4;0
209;76;60;4;3;0
210;46;84;4;2;3
211;30;50;2;3;1
212;71;3;4;4;3
213;62;80;4;3;3
214;59;20;4;3;2
215;57;20;1;3;0
216;56;0;1;4;0
217;27;80;4;2;3
218;52;31;4;4;3
219;53;200;4;3;3
220;32;50;3;4;2
221;31;150;4;3;3
222;64;500;4;3;3
223;61;85;4;3;3
224;50;25;4;3;0
225;67;200;4;3;3
226;39;250;4;3;3
227;55;0;1;3;0
228;21;0;1;2;1
229;50;250;4;3;3
230;26;50;1;3;1
231;48;92;4;4;2
232;63;20;4;2;0
233;44;42;1;2;1
234;47;300;4;3;3
235;44;200;4;3;3
236;37;20;3;2;1
237;32;105;4;2;3
238;35;110;4;3;3
239;53;80;4;2;3
240;58;30;3;2;0
241;51;250;4;3;3
242;70;90;3;3;2
243;48;30;2;3;2
244;35;42;4;3;2
245;43;30;4;4;2
246;39;100;2;3;0
247;25;0;1;3;0
248;28;57;3;3;0
249;57;10;1;2;1
250;29;300;4;3;3
251;40;0;1;3;1
252;29;105;3;2;3
253;57;15;4;2;1
254;66;60;4;4;2
255;42;100;4;3;2
256;55;80;3;4;0
257;20;10;1;4;0
258;49;200;4;3;3
259;30;0;1;3;0
260;48;50;4;2;3
261;60;10;4;2;3
262;29;200;4;3;3
263;71;50;4;3;3
264;53;50;4;2;3
265;19;0;2;3;1
266;30;200;4;3;3
267;55;50;4;2;3
268;55;140;4;3;3
269;32;30;3;2;1
270;36;20;3;2;3
271;44;10;4;4;2
272;20;0;2;4;0
273;44;20;1;3;2
274;30;0;1;2;1
275;73;15;4;4;3
276;35;80;4;3;3
277;57;150;4;3;3
278;29;300;4;4;3
279;65;81;4;2;2
280;37;20;1;2;0
281;62;50;4;3;2
282;58;20;2;4;0
283;34;22;4;3;3
284;28;12;2;2;0
285;54;30;4;3;3
286;55;100;4;3;3
287;36;200;4;3;3
288;59;54;4;2;3
289;43;200;4;3;3
290;41;300;4;3;3
291;47;200;4;3;3
292;62;90;4;3;3
293;52;45;3;2;3
294;56;150;4;3;3
295;47;50;4;2;3
296;60;150;4;4;3
297;54;25;4;4;3
298;55;100;4;4;3
299;70;80;4;3;3
300;73;40;4;2;3
301;50;100;4;3;3
302;52;85;4;2;3
303;43;175;4;3;3
304;42;200;4;3;3
305;42;150;4;3;3
306;44;500;4;3;3
307;47;200;4;3;3
308;69;100;4;3;3
309;46;150;4;3;3
310;46;150;4;3;3
311;50;100;4;3;3
312;60;150;4;3;3
313;39;100;4;3;3
314;57;120;4;3;3
315;50;100;4;3;3
316;45;200;4;3;3
317;47;50;4;3;3
318;58;200;4;3;3
319;52;1600;4;3;3
320;41;200;4;3;3
321;48;300;4;3;3
322;49;100;4;4;3
323;52;100;4;3;3
324;59;200;4;3;3
325;36;200;4;3;3
326;37;60;4;3;3
327;51;120;4;3;3
328;50;250;4;3;3
329;52;100;4;3;3
330;52;1600;4;3;3
331;60;150;4;4;3
332;57;25;3;2;1
333;44;500;4;3;3
334;52;1600;4;3;3
335;41;300;4;3;3
336;61;25;1;3;3
337;58;100;4;3;3
338;45;1000;4;3;3
339;47;50;4;2;3
340;60;100;4;3;3
341;73;110;4;4;1
342;41;0;1;2;0
343;53;90;4;2;3
344;70;300;4;3;3
345;65;30;4;3;2
346;37;30;3;2;1
