pph age;pph altitude;ac altitude;different relief ac pph;pph distance;PPH SEXE;PPH NB HEURES PRATIQUE;AC EXPERIENCEmoins d'un an 1 : 1/2 : 1 Ã  2 ans2/4 : 2 Ã  4 ans4 : plus de 4 anscase grisÃ©e : sans objet;AC FREQUEE;AC BREVET VOL VOL LIBRE;AC NIVEAU PROGRESSION VOL LIBRE;AC ECOLE VOL LIBRE;AC 0 BI VOL LIBRE;AC TYPE VOL VOL LIBRE;AC SITE CONNAISSAE VOL LIBRE;AC TYPE AILE VOL LIBRE;AC SURFACE AILE;AC AILE HOMOLOGATION PARAPENTE;AC SELLETTE PROTECTION PARAPENTE;AC NOMBRE DE JOUR DEPUIS LE D2BUT DE l'ANNEE;AC HEURE;Saison;AC ETAT ASSURE
45;51;183;0;17;0;40;3;2;3;3;1;0;4;3;1;26;-1;3;1;15;0;2
55;296;375;0;6759;1;40;3;3;0;3;1;0;6;4;1;21;3;2;28;12;0;2
66;331;518;0;18;0;61;4;3;2;2;1;0;4;3;1;25;3;2;50;12;0;2
52;922;965;0;14;0;300;4;3;3;3;1;0;4;3;1;26;5;3;84;9;1;1
60;440;483;0;9;0;22;4;3;2;3;1;0;4;3;1;25;-1;3;82;14;1;2
47;1162;1143;0;19;0;200;4;4;3;3;1;0;7;3;1;24;-1;3;87;13;1;1
56;419;658;0;56;0;50;4;2;3;3;1;0;6;3;1;25;-1;3;104;15;1;1
42;13;135;0;24;1;15;3;4;1;1;1;0;4;3;1;26;2;2;111;12;1;1
47;791;114;0;24;1;10;4;2;1;2;1;0;4;4;1;25;2;2;111;13;1;1
56;551;1134;1;134;0;50;4;3;1;2;1;0;4;4;1;28;3;2;116;16;1;1
69;691;1216;1;169;0;30;4;3;2;3;1;0;4;1;1;25;3;3;129;12;1;1
66;523;1521;1;34;0;50;4;3;3;3;1;0;4;4;1;25;-1;2;127;15;1;1
52;3;58;0;104;0;30;4;3;3;2;1;0;8;4;1;25;-1;3;135;15;1;0
28;1888;1737;0;20;1;100;2;2;2;2;1;0;4;4;1;21;3;2;138;12;1;0
52;1779;436;1;54;0;150;4;3;3;3;1;0;7;3;1;15;2;1;135;10;1;1
29;647;647;0;0;1;15;4;3;1;1;1;0;4;3;1;24;2;3;143;17;1;1
55;767;27;0;637;0;60;4;3;3;3;1;0;4;4;1;23;3;1;143;22;1;1
42;220;1379;1;21;0;0;2;2;2;2;1;0;4;4;1;25;2;1;117;11;1;0
46;445;927;1;26;0;100;4;3;3;3;1;0;8;3;1;24;-1;3;153;13;2;1
50;46;3;0;63;0;200;4;3;3;1;1;0;4;0;0;41;0;2;158;10;2;0
33;414;414;0;0;0;350;4;3;3;3;1;0;4;4;1;26;-1;1;165;18;2;2
39;705;1379;1;8;1;20;3;4;1;1;1;0;4;3;1;22;2;3;173;10;2;2
76;939;1379;0;46;1;50;4;2;2;3;1;0;8;3;1;21;3;2;171;13;2;0
55;296;1531;1;19;1;40;3;3;0;3;1;0;4;4;1;23;3;2;177;19;2;1
60;1552;1552;0;0;0;80;4;3;3;3;1;0;6;3;1;23;5;3;180;15;2;2
46;767;767;0;0;0;30;3;2;2;2;1;0;6;3;1;28;3;2;181;16;2;2
38;1719;1479;0;172;0;100;4;3;3;2;1;0;8;0;1;24;5;3;181;14;2;0
34;368;206;0;30;1;20;3;3;2;2;1;0;4;3;1;27;2;3;187;19;2;1
44;1373;1710;0;16;0;10;4;4;3;3;1;0;8;3;1;28;3;3;188;14;2;2
41;745;806;1;172;0;100;4;3;3;3;1;0;8;4;1;25;0;2;188;16;2;2
57;257;927;1;338;0;50;4;4;3;3;1;0;5;4;1;26;5;2;189;18;2;2
64;288;594;0;167;0;30;4;3;1;3;1;0;4;3;1;23;-1;3;191;18;2;2
60;1155;431;1;24;0;0;2;3;0;1;1;0;4;3;1;26;2;2;193;16;2;2
65;135;94;0;28;0;100;4;3;3;3;1;0;4;4;1;25;0;2;205;16;2;2
30;1279;1479;0;12;0;100;4;3;3;3;1;0;6;3;1;24;3;3;207;11;2;0
48;80;54;0;66;0;50;3;2;1;1;1;0;4;3;1;18;-1;3;208;17;2;2
32;220;1149;1;26;1;15;3;2;2;2;1;0;4;4;1;26;2;2;209;10;2;2
52;494;728;0;33;0;20;4;3;3;3;1;0;6;1;1;24;-1;3;211;15;2;2
63;132;1608;1;373;0;15;4;4;2;2;1;0;4;4;1;25;2;1;213;9;2;1
71;534;642;0;43;0;7;4;2;2;2;1;0;4;3;1;27;3;3;215;14;2;2
36;54;1379;1;478;0;10;3;4;1;1;1;0;4;4;1;29;2;3;143;15;1;2
67;122;271;0;65;0;26;4;2;3;1;1;0;4;3;1;26;-1;2;215;19;2;0
41;497;1608;1;52;0;30;4;2;3;3;1;0;6;3;1;26;-1;2;216;13;2;2
59;153;153;0;0;0;90;4;2;0;3;1;0;6;4;1;25;3;2;215;13;2;2
57;359;1200;1;198;1;0;4;2;3;3;1;0;6;4;1;25;3;3;213;16;2;2
33;240;1123;1;410;0;15;4;4;1;2;1;0;4;2;1;28;3;2;218;14;2;2
32;819;913;0;26;0;200;4;3;3;3;1;1;4;3;2;41;3;2;221;9;2;1
47;3;1714;1;626;0;2;4;4;0;0;1;0;4;1;1;20;2;1;218;11;2;2
